suburb_name,NH_geometry,f0_
Premaydena,"POLYGON((147.753417599933 -43.0722846745795, 147.764918400049 -43.0386242945498, 147.745750400015 -43.0626674245198, 147.745750399937 -43.072284674575, 147.753417599933 -43.0722846745795))",POINT(147.753632112997 -43.0597286813967)
Black Hills,"LINESTRING(147.03238864997 -42.7336703075008, 147.030264546229 -42.7291809521249, 147.028140749939 -42.7246915575053)",POINT(147.030264546229 -42.7291809521249)
Liffey,"POLYGON((146.861071779477 -41.6886348815048, 146.861071779651 -41.6883672439707, 146.860211309802 -41.6878319695421, 146.859781070769 -41.6875643303589, 146.859350829472 -41.6872966905021, 146.858920589469 -41.6870290544004, 146.858490355077 -41.6867614206742, 146.858060119758 -41.6867614205913, 146.858060120206 -41.6870290541779, 146.860641544457 -41.6886348802324, 146.861071779477 -41.6886348815048))",POINT(146.859565934621 -41.6876981520077)
Abbotsham,"POLYGON((146.18464356485 -41.2107528763871, 146.184643564911 -41.2092756267082, 146.182636690011 -41.2092756267492, 146.180629809988 -41.2107528763877, 146.178622935261 -41.2122301266928, 146.176616059789 -41.2137073768318, 146.174609184995 -41.2151846265492, 146.172602309975 -41.2166618766634, 146.170595434849 -41.2181391265043, 146.170595434865 -41.2196163764882, 146.17260230999 -41.2196163764317, 146.18464356485 -41.2107528763871))",POINT(146.177619910083 -41.2144460169184)
Lebrina,"LINESTRING(147.225430174964 -41.1779814906868, 147.225430174952 -41.1810929681893, 147.22543017494 -41.1842044456919)",POINT(147.225430174952 -41.1810929681893)
Nubeena,"LINESTRING(147.741593125004 -43.1024015702622, 147.741593125002 -43.0990539502739, 147.741593125 -43.0957063302856)",POINT(147.741593125002 -43.0990539502739)
Moriarty,"POLYGON((146.482845765053 -41.2172270497885, 146.482845765059 -41.213347209882, 146.482845765058 -41.2094673699053, 146.482845765022 -41.2055875297778, 146.482845765053 -41.2172270497885))",POINT(146.454440867935 -41.2109850922183)
Lilydale (Tas.),POINT(147.216569025008 -41.2499055840226),POINT(147.216569025008 -41.2499055840226)
Romaine,"POLYGON((145.902497069958 -41.0806732937529, 145.902497069909 -41.0767610939832, 145.898989785111 -41.0767610938619, 145.895482494895 -41.0806732938516, 145.895482494962 -41.0884976938334, 145.902497069958 -41.0806732937529))",POINT(145.89865586487 -41.081418483845)
Ringarooma,"POLYGON((147.735051499998 -41.2732506498222, 147.742318499999 -41.247054269873, 147.735051500035 -41.2383221449232, 147.727784499964 -41.2645185248219, 147.727784499984 -41.273250649817, 147.735051499998 -41.2732506498222))",POINT(147.73451400202 -41.2574028107239)
Dilston,"LINESTRING(147.080072800024 -41.3367433201444, 147.083813999998 -41.3367433807205, 147.087555199972 -41.3367433201506)",POINT(147.083813999998 -41.3367433807205)
Badger Head,"LINESTRING(146.737927454998 -41.1332208046925, 146.734689491506 -41.1300064950665, 146.731451845266 -41.1267920947891)",POINT(146.734689491506 -41.1300064950665)
Caveside,POINT(146.432471624992 -41.5973052225901),POINT(146.432471624992 -41.5973052225901)
Toiberry,"LINESTRING(147.041110624926 -41.6235295624865, 147.041110624923 -41.6222585000341, 147.041110624919 -41.6209874375818)",POINT(147.041110624923 -41.6222585000341)
Mount Nelson,"POLYGON((147.327727444916 -42.9247968010025, 147.323072455019 -42.9156603711357, 147.318417464972 -42.9156603711246, 147.31841746495 -42.9187058509126, 147.327727444916 -42.9247968010025))",POINT(147.322451618063 -42.9191119445477)
Northdown,"POLYGON((146.484143185029 -41.1799743687665, 146.484143185036 -41.1768011936653, 146.479678309924 -41.176801193718, 146.47521343504 -41.1799743687412, 146.475213435051 -41.1831475436467, 146.484143185029 -41.1799743687665))",POINT(146.479678382091 -41.1795513243399)
Exton,POINT(146.733214300039 -41.5201642777221),POINT(146.733214300039 -41.5201642777221)
